Classifier,URS_Mean,URS_SD
Random Forest,77.73894354835281,2.1431190862768354
XGBoost,75.06354007679245,3.1994247596522007
Support Vector Machine,68.30456030175053,3.769364790824164
Logistic Regression,59.03140968351998,2.883421629236238
