Classifier,AUDC_High_Risk_Recall,AUDC_Macro_F1,AUDC_Accuracy,AUDC_1_minus_Brier,URS,URS_Rank
Random Forest,0.855077441077441,0.7420355498880181,0.7409074281812417,0.6456630844989794,77.73894354835281,1
XGBoost,0.8193580246913581,0.728844843595418,0.7265379050220293,0.5893115680834987,75.06354007679244,2
Support Vector Machine,0.7665544332211,0.6393536908368035,0.6568155879627372,0.5325460488547694,68.30456030175056,3
Logistic Regression,0.6249685746352412,0.5776933556584287,0.591559934318555,0.48706673419863705,59.031409683519975,4
